case_id,eia_id,p_state,p_county,ylat,xlong,p_name,p_year,p_tech_pri,p_cap_ac,p_cap_dc,p_type,utility_name
59224,59224,IA,Story,42.006944,-93.523611,Optimum Wind 6 LLC,2017,WIND,3.0,,wind farm,Optimum Wind 6 LLC
59225,59225,IA,Story,42.028333,-93.430278,Optimum Wind 7 LLC,2017,WIND,3.0,,wind farm,Optimum Wind 7 LLC
59226,59226,IA,Story,42.016389,-93.515833,Optimum Wind 4 LLC,2017,WIND,3.0,,wind farm,Optimum Wind 4 LLC
59227,59227,IA,Story,42.019167,-93.513611,Optimum Wind 3 LLC,2017,WIND,3.0,,wind farm,Optimum Wind 3 LLC
59228,59228,IA,Hardin,42.498056,-93.367778,Leonardo Wind 1 LLC,2016,WIND,3.0,,wind farm,Leonardo Wind 1 LLC
59230,59230,IA,Poweshiek,41.741944,-92.672222,Venus Wind 3 LLC,2017,WIND,3.0,,wind farm,Venus Wind 3 LLC
59231,59231,IA,Story,41.881,-93.623056,Michelangelo Wind 1 LLC,2017,WIND,3.0,,wind farm,Michelangelo Wind 1 LLC
59232,59232,IA,Boone,41.978,-93.700556,Michelangelo Wind 4 LLC,2016,WIND,3.0,,wind farm,Michelangelo Wind 4 LLC
59234,59234,OK,Murray,34.386944,-97.136944,Arbuckle Mountain Wind Farm LLC,2015,WIND,100.0,,wind farm,Arbuckle Mountain Wind Farm LLC
59235,59235,CA,Kern,35.088889,-118.206389,Rising Tree Wind Farm II,2015,WIND,19.8,,wind farm,Rising Tree Wind Farm II LLC
59236,59236,CA,Kern,35.060556,-118.243333,Rising Tree Wind Farm III,2015,WIND,99.0,,wind farm,Rising Tree Wind Farm III LLC
59238,59238,TX,Archer,33.495278,-98.5,Windthorst-2,2014,WIND,67.6,,wind farm,"EDF Renewable Asset Holdings, Inc."
59244,59244,TX,Crosby,33.699167,-101.524722,Lorenzo Wind,2018,WIND,80.0,,wind farm,"Lorenzo Wind, LLC"
59245,59245,TX,Scurry,32.931944,-101.143611,Fluvanna,2017,WIND,155.4,,wind farm,TC Energy
59246,59246,TX,Armstrong,35.093889,-101.326111,Goodnight,2024,WIND,265.5,,wind farm,"FGE Goodnight I, LLC"
59247,59247,TX,Hale,33.927778,-101.742222,Hale Community Wind Farm,2019,WIND,478.0,,wind farm,Southwestern Public Service Co
59284,59284,OK,Dewey,35.978889,-98.710278,Mammoth Plains,2014,WIND,199.0,,wind farm,Mammoth Plains Wind Project
59292,59292,NE,Dixon,42.375,-96.829,Rattlesnake Creek Wind Project,2018,WIND,318.1,,wind farm,"Rattlesnake Creek Wind Project, LLC"
59295,59295,RI,Washington,41.581667,-71.486667,WED NK Green,2012,WIND,1.5,,wind farm,WED NK Green LLC
59296,59296,OH,Paulding,41.016944,-84.593611,Northwest Ohio Wind,2018,WIND,105.0,,wind farm,"Northwest Ohio Wind, LLC"
59301,59301,RI,Kent,41.675833,-71.7075,WED Coventry 1,2016,WIND,1.5,,wind farm,"WED Coventry One, LLC"
59302,59302,RI,Kent,41.6725,-71.705833,WED Coventry 2,2016,WIND,4.5,,wind farm,"WED Coventry Two, LLC"
59305,59305,RI,Kent,41.695556,-71.720833,WED Coventry 3,2016,WIND,1.5,,wind farm,"WED Coventry Three, LLC"
59306,59306,RI,Kent,41.686389,-71.728333,WED Coventry 4,2016,WIND,1.5,,wind farm,"WED Coventry Four, LLC"
59311,59311,OK,Dewey,36.1225,-98.992222,Seiling Wind I,2014,WIND,199.0,,wind farm,NextEra Energy Seiling Wind
59312,59312,OK,Dewey,36.1225,-98.992222,Seiling Wind II,2014,WIND,98.6,,wind farm,NextEra Energy Seiling Wind
59313,59313,RI,Kent,41.659722,-71.699722,WED Coventry 5,2017,WIND,1.5,,wind farm,Greenbacker Renewable Energy Corporation
59314,59314,RI,Kent,41.669722,-71.708333,WED Coventry 6,2016,WIND,4.5,,wind farm,Greenbacker Renewable Energy Corporation
59320,59320,TX,Starr,26.388611,-98.806111,Los Vientos Windpower III,2015,WIND,200.0,,wind farm,Duke Energy Renewables Services
59321,59321,TX,Starr,26.380556,-98.818333,Los Vientos Windpower IV,2016,WIND,200.0,,wind farm,Duke Energy Renewables Services
59328,59328,CA,San Diego,32.702107,-116.354587,Golden Acorn Casino,2014,WIND,1.0,,wind farm,"Foundation HA Energy Generation, LLC"
