feature_type,source,name,operator,capacity_mw,latitude,longitude
generator,wind,,Edison,3.3,41.8363649,14.483085
generator,wind,,Edison,3.3,41.8304249,14.4852639
generator,wind,,,3.3,41.9146208,14.449052
generator,wind,,,3.3,41.9115391,14.4486852
generator,wind,,,3.3,41.9085815,14.4500175
generator,wind,,,3.3,41.9026814,14.4512366
generator,wind,,,3.3,41.899771,14.452573
generator,wind,,,3.3,41.8923926,14.4504026
generator,wind,,,3.3,41.0974336,15.9442233
generator,wind,,,3.3,41.0895881,15.9467742
generator,wind,,,3.3,41.0928069,15.9354686
generator,wind,,,3.3,41.0870425,15.9402978
generator,wind,,,3.3,41.0811811,15.9274559
generator,wind,,,3.3,41.0782175,15.9181159
generator,wind,,,3.3,41.0737832,15.9206101
generator,wind,,,3.3,41.0694727,15.9177482
generator,wind,,,3.3,41.0710517,15.9055248
generator,wind,,,3.3,41.0756776,15.9082136
generator,wind,,,3.3,41.0891964,15.9262593
generator,wind,,,3.3,41.093021,15.9280821
generator,wind,,,3.3,41.9056961,14.4511279
generator,wind,,,3.3,41.8959164,14.4510849
generator,wind,,,3.3,41.8942788,14.454282
generator,wind,,,3.3,44.4178721,9.6368363
generator,wind,,,3.3,44.4165,9.6400329
generator,wind,,,3.3,44.4142745,9.6406725
generator,wind,,,3.3,44.4127154,9.6439843
generator,wind,,,3.3,44.4123531,9.6476367
generator,wind,,,3.3,44.4144705,9.6532769
plant,wind,Parco Eolico Fri-El Gorgoglione,Fri-El Green Power,3.3,40.3842171,16.137577
generator,wind,,,3.2,40.6794515,16.2620542
generator,wind,,,3.2,40.6795129,16.2548362
generator,wind,,,3.2,40.6791431,16.2496109
generator,wind,,,3.2,40.6800608,16.2425215
generator,wind,,,3.2,40.68165,16.2356903
generator,wind,,,3.2,40.6806455,16.2318508
generator,wind,,,3.2,40.6790309,16.2283506
generator,wind,,,3.2,40.6778242,16.2246037
generator,wind,,,3.2,40.6736692,16.2326111
generator,wind,,,3.2,40.6733925,16.2382795
generator,wind,,,3.2,40.6839339,16.1959856
generator,wind,,,3.2,40.6878071,16.1886449
generator,wind,,,3.2,40.6896471,16.191856
generator,wind,,,3.2,40.6917687,16.1955421
generator,wind,,,3.2,40.6965094,16.1963943
generator,wind,,,3.2,40.6985228,16.1995841
generator,wind,,,3.2,40.6968805,16.1881259
plant,solar,Treia 6A - Impianto fotovoltaico Collevago,,3.2,43.3407409,13.3462187
generator,solar,,,3.002,45.4998264,11.0176021
generator,wind,,,3.0,42.9552194,10.5643219
generator,wind,,,3.0,42.9558447,10.5681189
generator,wind,,,3.0,42.9563832,10.5720386
generator,wind,,,3.0,42.9569683,10.5758771
generator,wind,,,3.0,42.9575502,10.5797053
generator,wind,,,3.0,42.9581667,10.5835439
generator,wind,,,3.0,40.6822018,15.9908023
generator,wind,,,3.0,40.6779449,15.9879085
generator,wind,,,3.0,40.6755875,15.9851578
generator,wind,,,3.0,40.6690954,15.982877
generator,wind,,,3.0,40.6676551,15.9792393
generator,wind,,,3.0,40.6649281,15.9771737
generator,wind,,,3.0,40.6613835,15.9751053
generator,wind,,,3.0,40.6618976,15.9703273
generator,wind,,,3.0,40.6586463,15.969866
generator,wind,,,3.0,40.6555028,15.9697757
generator,wind,,,3.0,40.6524325,15.9706067
generator,wind,,,3.0,40.65005,15.9733833
generator,wind,,,3.0,40.6477986,15.9690616
generator,wind,,,3.0,41.1913115,15.7733229
generator,wind,,,3.0,41.1879371,15.7697059
generator,wind,,,3.0,41.1888779,15.7606718
generator,wind,,,3.0,41.2024939,15.7865648
generator,wind,,,3.0,41.210199,15.7866529
generator,wind,,,3.0,41.2067489,15.7761542
generator,wind,,,3.0,41.1895985,15.4473501
generator,wind,,,3.0,41.1919975,15.4438316
generator,wind,,,3.0,41.1925002,15.4529174
generator,wind,,,3.0,41.1915296,15.457298
generator,wind,,,3.0,41.1918868,15.4609806
generator,wind,,,3.0,41.1964101,15.4459694
generator,wind,,,3.0,41.1984167,15.4422464
generator,wind,,,3.0,41.1997008,15.4387583
generator,wind,,,3.0,41.1987794,15.4332677
generator,wind,,,3.0,41.1986499,15.4293722
generator,wind,,,3.0,41.197106,15.4516594
generator,wind,,,3.0,41.1990488,15.4570679
generator,wind,,,3.0,41.1996179,15.4612851
generator,wind,,,3.0,41.1976402,15.4679988
generator,wind,,,3.0,41.1951241,15.4707484
generator,wind,,,3.0,41.1936133,15.4665668
generator,wind,,,3.0,41.2002132,15.4195263
generator,wind,,,3.0,41.2004964,15.4149977
generator,wind,,,3.0,41.1879464,15.4242164
generator,wind,,,3.0,41.1907583,15.4099417
generator,wind,,,3.0,41.8086245,15.4086477
generator,wind,,,3.0,41.8064806,15.4145687
generator,wind,,,3.0,41.8047964,15.4195446
generator,wind,,,3.0,41.8119742,15.4157145
plant,solar,Parco Solare Milleacque,,3.0,46.0218562,13.2708037
plant,solar,Impianto fotovoltaico di Oviglio,Edison,3.0,44.8682244,8.4788277
generator,wind,,,2.75,37.3619556,13.3916992
generator,wind,,,2.75,37.3649918,13.3926598
generator,wind,,,2.75,37.3678547,13.3921849
generator,wind,,,2.75,37.3717394,13.3936303
generator,wind,,,2.75,37.374938,13.3954455
generator,wind,,,2.75,37.3776649,13.3976406
generator,wind,,,2.625,40.6894083,16.0622043
generator,wind,,,2.625,40.6913271,16.0585045
generator,wind,,,2.625,40.6947673,16.058882
generator,wind,,,2.625,40.6974238,16.0559956
generator,wind,,,2.6,37.7562936,13.7987027
generator,wind,,,2.6,37.7611616,13.7722943
generator,wind,,,2.5,41.3172564,14.9715004
generator,wind,,,2.5,41.3165671,14.9824851
generator,wind,,,2.5,41.3141858,14.9881843
generator,wind,,,2.5,41.3220112,14.9682249
generator,wind,,,2.5,41.320343,14.9763306
generator,wind,,,2.5,41.3201996,14.9795945
generator,wind,,,2.5,41.3502341,15.3498264
generator,wind,,,2.5,41.3532016,15.357019
generator,wind,,,2.5,41.3539712,15.362787
generator,wind,,,2.5,41.3551796,15.3690076
generator,wind,,,2.5,41.3595507,15.3673003
generator,wind,,,2.5,40.9390013,16.767381
generator,wind,,,2.5,40.9354073,16.7639192
generator,wind,,,2.5,40.9397447,16.7600999
generator,wind,,,2.5,40.9376547,16.7504833
generator,wind,,,2.5,40.9443592,16.7529268
generator,wind,,,2.5,40.9413979,16.7317007
generator,wind,,San Bernardo Wind Energy,2.4,44.1760564,8.0452674
generator,wind,,San Bernardo Wind Energy,2.4,44.1765352,8.0538129
generator,wind,,San Bernardo Wind Energy,2.4,44.1769444,8.0513889
generator,wind,,San Bernardo Wind Energy,2.4,44.178298,8.0481312
generator,wind,,San Bernardo Wind Energy,2.4,44.1783035,8.0559017
generator,wind,,,2.4,37.7006352,12.8439708
generator,wind,,,2.4,37.7011297,12.8337918
generator,wind,,,2.4,37.6968933,12.8348245
generator,wind,,,2.4,37.6931285,12.8353447
generator,wind,,,2.4,37.6978088,12.8482473
generator,wind,,,2.4,37.6938576,12.8470506
generator,wind,,,2.3,39.1957199,8.4432266
generator,wind,,,2.3,39.2190597,8.4123216
generator,wind,,,2.3,39.2202285,8.4192962
generator,wind,,,2.3,39.2223007,8.4106316
generator,wind,,,2.3,39.1782389,8.4544861
generator,wind,,,2.3,39.1866987,8.441682
generator,wind,,,2.3,39.187316,8.4258971
generator,wind,,,2.3,39.1878424,8.4449556
generator,wind,,,2.3,39.1886462,8.4295966
generator,wind,,,2.3,39.1917597,8.4308793
generator,wind,,,2.3,39.192844,8.4340307
generator,wind,,,2.3,39.1938743,8.4221666
generator,wind,,,2.3,39.195496,8.4246563
generator,wind,,,2.3,39.1964908,8.4325127
generator,wind,,,2.3,39.1972153,8.4271869
generator,wind,,,2.3,39.1989198,8.4384881
generator,wind,,,2.3,39.2016918,8.4299767
generator,wind,,,2.3,39.2038274,8.4327805
generator,wind,,,2.3,39.2052053,8.4281836
generator,wind,,,2.3,39.208888,8.4163847
generator,wind,,,2.3,39.21254,8.4191641
generator,wind,,,2.3,39.2152216,8.4219443
generator,wind,,,2.3,39.1738047,8.4544079
generator,wind,,,2.3,39.1759271,8.4452297
generator,wind,,,2.3,39.1765952,8.4503371
generator,wind,,,2.3,39.1773107,8.4379657
generator,wind,,,2.3,39.1804617,8.4487777
generator,wind,,,2.3,39.1814665,8.4514552
generator,wind,,,2.3,39.1829675,8.4441217
generator,wind,,,2.3,39.1830425,8.45475
generator,wind,,,2.3,39.1836702,8.436748
generator,wind,,,2.3,39.1838821,8.4472561
generator,wind,,,2.3,39.1849135,8.4329768
