operator,capacity_mw,place,municipality,province,year_realized,latitude,longitude
Bee Stadskanaal B.V.,26.923,FLUITENBERG,Hoogeveen,Drenthe,2022,52.74687602955486,6.435001170370664
Prinsen Energie B.V.,26.9,COEVORDEN,Coevorden,Drenthe,2023,52.67032026656838,6.721994024760209
Solar Power Moerdijk B.V.,26.77,MOERDIJK,Moerdijk,Noord-Brabant,2019,51.68670115279625,4.549540548660738
Zonnepark Noordermeerdijk Noord,26.39,RUTTEN,Noordoostpolder,Flevoland,2025,52.811244046213815,5.646827341595887
Zonnepark PV3 B.V.,26,ZWOLLE,Zwolle,Overijssel,2020,52.545191312065626,6.1527852876646545
Zonnepark A73 B.V.,25.932,NIJMEGEN,Nijmegen,Gelderland,2024,51.83199413521193,5.76807748010888
Zonpv Woensdrecht B.V.,25.802,WOENSDRECHT,Woensdrecht,Noord-Brabant,2024,51.41321964869199,4.267874208706547
Zonnepark Oudenhoorn B.V.,25,OUDENHOORN,Voorne aan Zee,Zuid-Holland,2024,51.82789107398196,4.174915354835182
Karakter Two Energie B.V.,24.878,GRUBBENVORST,Horst aan de Maas,Limburg,2022,51.421908762580756,6.099776903889164
Zonnepark Pekela B.V.,24.754,OUDE PEKELA,Pekela,Groningen,2023,53.11540617173631,6.98188741250472
Helios Eemshaven B.V.,24.741,EEMSHAVEN,Het Hogeland,Groningen,2021,53.44980939804896,6.797520000521359
Zonnepark Pekela B.V.,24.706,OUDE PEKELA,Pekela,Groningen,2023,53.11151652532638,6.989397650257921
Zonnepark Hemmen B.V.,24.638,VALBURG,Overbetuwe,Gelderland,2023,51.9200750755898,5.682112195341121
FP Lux REIO PV Netherlands Coevorden B.V.,24.424,COEVORDEN,Coevorden,Drenthe,2022,52.63782262866389,6.714445019935387
Zonnepark Vloeivelden Hollandia B.V.,23.216,ODOORN,Borger-Odoorn,Drenthe,2021,52.93046296109211,6.909766902344648
ZonXP Reimerswaal 2 B.V.,22.684,RILLAND,Reimerswaal,Zeeland,2024,51.42469171071249,4.238038914986425
***,22.546,ALMELO,Almelo,Overijssel,2020,52.378227458959444,6.637856756227981
KS NL7 B.V.,22.408,LOSSER,Losser,Overijssel,2021,52.24521585102114,7.057241810028481
Zonnepark Hazenwinkel B.V.,22,MIERLO,Geldrop-Mierlo,Noord-Brabant,2024,51.45525615433397,5.589067677020861
Zonnepark Energielandgoed Eelde B.V.,21.803,EELDE,Tynaarlo,Drenthe,2019,53.12809949914839,6.581411287346869
De Jong Energie B.V.,21.652,BORGER,Borger-Odoorn,Drenthe,2022,52.9158237142144,6.776992046363799
ZP Assen-Zuid B.V.,21.13588,ASSEN,Assen,Drenthe,2024,52.96646225554006,6.558593203380625
Zonnewei De Raak B.V.,21.02856,MAARHEEZE,Cranendonck,Noord-Brabant,2024,51.32062616910507,5.623444117696659
Zonnepark PV27 B.V.,21,TJALLEBERD,Heerenveen,Friesland,2023,52.96855676866368,5.879105741847283
